train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy
0.3360282778739929,1.0,0,6,,
,,0,6,0.3408743143081665,0.8518518805503845
0.36810827255249023,0.8461538553237915,1,13,,
,,1,13,0.2226560413837433,0.9259259104728699
0.2288317084312439,0.9230769276618958,2,20,,
,,2,20,0.16566024720668793,1.0
0.20074817538261414,0.9230769276618958,3,27,,
,,3,27,0.21369874477386475,0.8518518805503845
0.3762226402759552,0.9230769276618958,4,34,,
,,4,34,0.12168479710817337,1.0
0.26103273034095764,0.9230769276618958,5,41,,
,,5,41,0.1025170385837555,1.0
