train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy
0.6866001486778259,0.5625,0,0,,
0.5264527201652527,0.875,0,1,,
0.7770593762397766,0.4375,0,2,,
0.503839373588562,0.9375,0,3,,
0.5830605626106262,0.875,0,4,,
0.4863097071647644,0.8125,0,5,,
0.41232186555862427,0.8461538553237915,0,6,,
,,0,6,0.32359588146209717,0.9629629850387573
0.5064694285392761,0.8125,1,7,,
0.36788666248321533,0.9375,1,8,,
0.2667723596096039,0.9375,1,9,,
0.30045151710510254,0.9375,1,10,,
0.3667373061180115,0.875,1,11,,
0.25196537375450134,1.0,1,12,,
0.26656606793403625,1.0,1,13,,
,,1,13,0.2563731372356415,0.9259259104728699
0.24013672769069672,0.875,2,14,,
0.2221691906452179,1.0,2,15,,
0.1730087250471115,1.0,2,16,,
0.4275587499141693,0.875,2,17,,
0.21115268766880035,1.0,2,18,,
0.40130266547203064,0.9375,2,19,,
0.49840542674064636,0.692307710647583,2,20,,
,,2,20,0.1656528264284134,1.0
0.19668056070804596,1.0,3,21,,
0.23385301232337952,0.9375,3,22,,
0.1500578671693802,1.0,3,23,,
0.3553112745285034,0.875,3,24,,
0.28749215602874756,0.8125,3,25,,
0.314579576253891,0.8125,3,26,,
0.18517081439495087,0.9230769276618958,3,27,,
,,3,27,0.21016345918178558,0.8888888955116272
0.21437780559062958,0.875,4,28,,
0.1738376021385193,1.0,4,29,,
0.12554900348186493,1.0,4,30,,
0.3979952335357666,0.8125,4,31,,
0.26500895619392395,0.875,4,32,,
0.2183418571949005,0.9375,4,33,,
0.09424228221178055,1.0,4,34,,
,,4,34,0.12134184688329697,1.0
0.19377648830413818,1.0,5,35,,
0.11917364597320557,1.0,5,36,,
0.1288665533065796,1.0,5,37,,
0.21308019757270813,0.9375,5,38,,
0.09944440424442291,0.9375,5,39,,
0.18669497966766357,1.0,5,40,,
0.33444899320602417,0.8461538553237915,5,41,,
,,5,41,0.1398913711309433,0.9629629850387573
0.07056404650211334,1.0,6,42,,
0.10355348885059357,1.0,6,43,,
0.3151947855949402,0.875,6,44,,
0.17880037426948547,1.0,6,45,,
0.09969772398471832,1.0,6,46,,
0.11140052229166031,1.0,6,47,,
0.2568663954734802,0.8461538553237915,6,48,,
,,6,48,0.09161168336868286,1.0
0.10853587090969086,0.9375,7,49,,
0.21773026883602142,0.9375,7,50,,
0.11215770244598389,1.0,7,51,,
0.2307242602109909,0.9375,7,52,,
0.1695534884929657,1.0,7,53,,
0.1242600753903389,1.0,7,54,,
