train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy,test_loss,test_accuracy
2.2062487602233887,0.3100000023841858,0,79,,,,
,,0,79,2.22755765914917,0.24650000035762787,,
2.10727596282959,0.4399999976158142,1,159,,,,
,,1,159,2.0946972370147705,0.421999990940094,,
1.8497565984725952,0.4399999976158142,2,239,,,,
,,2,239,1.865535855293274,0.40799999237060547,,
1.5916094779968262,0.5600000023841858,3,319,,,,
,,3,319,1.595579981803894,0.5429999828338623,,
1.3898309469223022,0.5600000023841858,4,399,,,,
,,4,399,1.3847792148590088,0.5715000033378601,,
1.253488302230835,0.6100000143051147,5,479,,,,
,,5,479,1.2336206436157227,0.5945000052452087,,
1.121771216392517,0.5799999833106995,6,559,,,,
,,6,559,1.125320315361023,0.6004999876022339,,
0.9394699335098267,0.6899999976158142,7,639,,,,
,,7,639,1.0458295345306396,0.6060000061988831,,
0.9179264903068542,0.6399999856948853,8,719,,,,
,,8,719,0.9863952994346619,0.6434999704360962,,
0.9129506945610046,0.6100000143051147,9,799,,,,
,,9,799,0.9402973055839539,0.6345000267028809,,
0.8509160876274109,0.6399999856948853,10,879,,,,
,,10,879,0.9010289907455444,0.6455000042915344,,
0.8670580983161926,0.699999988079071,11,959,,,,
,,11,959,0.8711226582527161,0.6539999842643738,,
0.7473527789115906,0.7099999785423279,12,1039,,,,
,,12,1039,0.8447745442390442,0.6710000038146973,,
0.7563386559486389,0.75,13,1119,,,,
,,13,1119,0.8225739598274231,0.6834999918937683,,
0.7144584655761719,0.7300000190734863,14,1199,,,,
,,14,1199,0.8005715012550354,0.6945000290870667,,
0.8680036664009094,0.6399999856948853,15,1279,,,,
,,15,1279,0.7816997170448303,0.6980000138282776,,
0.7798666954040527,0.699999988079071,16,1359,,,,
,,16,1359,0.7680399417877197,0.7055000066757202,,
0.8942080140113831,0.6800000071525574,17,1439,,,,
,,17,1439,0.7564955949783325,0.703499972820282,,
0.729013204574585,0.75,18,1519,,,,
,,18,1519,0.7408196926116943,0.7014999985694885,,
0.8594870567321777,0.6899999976158142,19,1599,,,,
,,19,1599,0.7303276658058167,0.7139999866485596,,
0.7450932264328003,0.7099999785423279,20,1679,,,,
,,20,1679,0.715377688407898,0.7335000038146973,,
0.5788649916648865,0.800000011920929,21,1759,,,,
,,21,1759,0.7058542966842651,0.7425000071525574,,
0.6722863912582397,0.7400000095367432,22,1839,,,,
,,22,1839,0.6913641691207886,0.7450000047683716,,
0.7432324886322021,0.75,23,1919,,,,
,,23,1919,0.6872327923774719,0.7325000166893005,,
0.8461695909500122,0.7099999785423279,24,1999,,,,
,,24,1999,0.6775630712509155,0.7494999766349792,,
0.6974874138832092,0.7599999904632568,25,2079,,,,
,,25,2079,0.6629149913787842,0.7630000114440918,,
0.7986910939216614,0.7599999904632568,26,2159,,,,
,,26,2159,0.6587508916854858,0.762499988079071,,
0.660634458065033,0.7599999904632568,27,2239,,,,
,,27,2239,0.6483361721038818,0.7634999752044678,,
0.6710092425346375,0.7400000095367432,28,2319,,,,
,,28,2319,0.6418709754943848,0.762499988079071,,
0.5458734035491943,0.800000011920929,29,2399,,,,
,,29,2399,0.6336107850074768,0.7705000042915344,,
0.6371908187866211,0.7699999809265137,30,2479,,,,
,,30,2479,0.6324368715286255,0.7724999785423279,,
0.5394057631492615,0.7900000214576721,31,2559,,,,
,,31,2559,0.6216948628425598,0.7674999833106995,,
0.6111544966697693,0.7200000286102295,32,2639,,,,
,,32,2639,0.6156322360038757,0.7789999842643738,,
0.42582693696022034,0.8500000238418579,33,2719,,,,
,,33,2719,0.6113987565040588,0.781000018119812,,
0.6675341725349426,0.7900000214576721,34,2799,,,,
,,34,2799,0.6051270961761475,0.7764999866485596,,
0.5090379118919373,0.800000011920929,35,2879,,,,
,,35,2879,0.5961099863052368,0.7829999923706055,,
0.5385584235191345,0.800000011920929,36,2959,,,,
,,36,2959,0.5994745492935181,0.7854999899864197,,
0.7009726166725159,0.7300000190734863,37,3039,,,,
,,37,3039,0.5884530544281006,0.7885000109672546,,
0.4395895302295685,0.8299999833106995,38,3119,,,,
,,38,3119,0.5822493433952332,0.7854999899864197,,
0.3550913333892822,0.8899999856948853,39,3199,,,,
,,39,3199,0.5867689847946167,0.7879999876022339,,
0.5952104330062866,0.800000011920929,40,3279,,,,
,,40,3279,0.5761563181877136,0.7975000143051147,,
0.5054338574409485,0.8100000023841858,41,3359,,,,
,,41,3359,0.5760716199874878,0.7900000214576721,,
0.5807404518127441,0.800000011920929,42,3439,,,,
,,42,3439,0.5736274123191833,0.7914999723434448,,
0.418231725692749,0.8799999952316284,43,3519,,,,
,,43,3519,0.5628949403762817,0.796500027179718,,
0.48575782775878906,0.8199999928474426,44,3599,,,,
,,44,3599,0.5661845803260803,0.7875000238418579,,
0.5872765183448792,0.7900000214576721,45,3679,,,,
,,45,3679,0.5659953951835632,0.7979999780654907,,
0.6164994239807129,0.8100000023841858,46,3759,,,,
,,46,3759,0.5621377825737,0.7944999933242798,,
0.5371538400650024,0.7900000214576721,47,3839,,,,
,,47,3839,0.5543531775474548,0.8065000176429749,,
0.5925823450088501,0.7699999809265137,48,3919,,,,
,,48,3919,0.5557507872581482,0.800000011920929,,
0.6403184533119202,0.7699999809265137,49,3999,,,,
,,49,3999,0.5506576895713806,0.7985000014305115,,
0.4597640931606293,0.8299999833106995,50,4079,,,,
,,50,4079,0.5568363666534424,0.796999990940094,,
0.4409141540527344,0.8299999833106995,51,4159,,,,
,,51,4159,0.5462551116943359,0.7990000247955322,,
0.45350199937820435,0.800000011920929,52,4239,,,,
,,52,4239,0.5459052324295044,0.8025000095367432,,
0.5362323522567749,0.800000011920929,53,4319,,,,
,,53,4319,0.5411969423294067,0.8015000224113464,,
0.506752073764801,0.8600000143051147,54,4399,,,,
,,54,4399,0.5360702276229858,0.8075000047683716,,
0.3745908737182617,0.8999999761581421,55,4479,,,,
,,55,4479,0.5331611037254333,0.8084999918937683,,
0.5518801212310791,0.8100000023841858,56,4559,,,,
