train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy
2.2451865673065186,0.23999999463558197,0,79,,
,,0,79,2.237684488296509,0.2605000138282776
2.1222198009490967,0.5099999904632568,1,159,,
,,1,159,2.130932569503784,0.47450000047683716
1.9701647758483887,0.4000000059604645,2,239,,
,,2,239,1.9351255893707275,0.4715000092983246
1.5906989574432373,0.5600000023841858,3,319,,
,,3,319,1.6489535570144653,0.5074999928474426
1.3795074224472046,0.6800000071525574,4,399,,
,,4,399,1.390564203262329,0.5724999904632568
1.238961100578308,0.6700000166893005,5,479,,
,,5,479,1.2159521579742432,0.640999972820282
0.9998413324356079,0.7300000190734863,6,559,,
,,6,559,1.098734736442566,0.6340000033378601
1.0659632682800293,0.5600000023841858,7,639,,
,,7,639,1.0172629356384277,0.6474999785423279
0.9827494025230408,0.6200000047683716,8,719,,
,,8,719,0.9573532342910767,0.6510000228881836
1.0660152435302734,0.550000011920929,9,799,,
,,9,799,0.9154016971588135,0.6514999866485596
0.7432049512863159,0.7099999785423279,10,879,,
,,10,879,0.8935731649398804,0.6345000267028809
0.7875605225563049,0.7200000286102295,11,959,,
,,11,959,0.8504974842071533,0.6690000295639038
0.7762978076934814,0.7300000190734863,12,1039,,
,,12,1039,0.8292644619941711,0.6765000224113464
0.870288610458374,0.6499999761581421,13,1119,,
,,13,1119,0.8067360520362854,0.6830000281333923
0.9515848755836487,0.6700000166893005,14,1199,,
,,14,1199,0.7950379252433777,0.6850000023841858
0.7757465839385986,0.7300000190734863,15,1279,,
,,15,1279,0.7768060564994812,0.7039999961853027
0.6929157376289368,0.7200000286102295,16,1359,,
,,16,1359,0.7625187039375305,0.6965000033378601
0.7600582242012024,0.6899999976158142,17,1439,,
,,17,1439,0.7522453665733337,0.7110000252723694
0.7543542981147766,0.6899999976158142,18,1519,,
,,18,1519,0.7404217720031738,0.718500018119812
0.6496471166610718,0.7599999904632568,19,1599,,
,,19,1599,0.7264779806137085,0.7260000109672546
