train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy,test_loss,test_accuracy
2.308469533920288,0.10999999940395355,0,79,,,,
,,0,79,2.407975912094116,0.10599999874830246,,
2.310926914215088,0.12999999523162842,1,159,,,,
,,1,159,2.407304525375366,0.10599999874830246,,
2.305135726928711,0.07000000029802322,2,239,,,,
,,2,239,2.4067530632019043,0.10599999874830246,,
2.2828125953674316,0.09000000357627869,3,319,,,,
,,3,319,2.4063074588775635,0.10599999874830246,,
2.3239922523498535,0.05000000074505806,4,399,,,,
,,4,399,2.405945062637329,0.10599999874830246,,
2.293731689453125,0.15000000596046448,5,479,,,,
,,5,479,2.405654191970825,0.10599999874830246,,
2.303250312805176,0.07999999821186066,6,559,,,,
,,6,559,2.405423641204834,0.10599999874830246,,
2.307093858718872,0.14000000059604645,7,639,,,,
,,7,639,2.405243158340454,0.10599999874830246,,
2.30938982963562,0.09000000357627869,8,719,,,,
,,8,719,2.405104637145996,0.10599999874830246,,
2.2982120513916016,0.07999999821186066,9,799,,,,
,,9,799,2.4050018787384033,0.10300000011920929,,
2.3098227977752686,0.03999999910593033,10,879,,,,
,,10,879,2.4049272537231445,0.10300000011920929,,
2.2964277267456055,0.10999999940395355,11,959,,,,
,,11,959,2.4048755168914795,0.10300000011920929,,
2.2994227409362793,0.07999999821186066,12,1039,,,,
,,12,1039,2.404843807220459,0.10300000011920929,,
2.299967050552368,0.11999999731779099,13,1119,,,,
,,13,1119,2.40482759475708,0.10300000011920929,,
2.3060038089752197,0.12999999523162842,14,1199,,,,
,,14,1199,2.4048233032226562,0.10300000011920929,,
2.3028290271759033,0.11999999731779099,15,1279,,,,
,,15,1279,2.4048266410827637,0.10300000011920929,,
2.3048980236053467,0.03999999910593033,16,1359,,,,
,,16,1359,2.404839277267456,0.0989999994635582,,
2.303234100341797,0.07000000029802322,17,1439,,,,
,,17,1439,2.4048573970794678,0.0989999994635582,,
2.303642988204956,0.07000000029802322,18,1519,,,,
,,18,1519,2.404879570007324,0.0989999994635582,,
2.3032031059265137,0.10999999940395355,19,1599,,,,
,,19,1599,2.4049034118652344,0.0989999994635582,,
,,20,1600,,,2.4350357055664062,0.10000000149011612
