train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy,test_loss,test_accuracy
2.2603108882904053,0.03999999910593033,0,79,,,,
,,0,79,2.2387266159057617,0.11050000041723251,,
2.148174524307251,0.28999999165534973,1,159,,,,
,,1,159,2.138047218322754,0.320499986410141,,
1.9360073804855347,0.36000001430511475,2,239,,,,
,,2,239,1.9378587007522583,0.3709999918937683,,
1.6430516242980957,0.47999998927116394,3,319,,,,
,,3,319,1.6591626405715942,0.45100000500679016,,
1.4191421270370483,0.550000011920929,4,399,,,,
,,4,399,1.430627465248108,0.578000009059906,,
1.2719577550888062,0.6399999856948853,5,479,,,,
,,5,479,1.275095820426941,0.6110000014305115,,
1.1467190980911255,0.6399999856948853,6,559,,,,
,,6,559,1.1626983880996704,0.609000027179718,,
1.021985650062561,0.699999988079071,7,639,,,,
,,7,639,1.0760852098464966,0.625,,
0.9953877329826355,0.5799999833106995,8,719,,,,
,,8,719,1.0099343061447144,0.6230000257492065,,
1.0527204275131226,0.5199999809265137,9,799,,,,
,,9,799,0.9600494503974915,0.637499988079071,,
0.8538347482681274,0.6399999856948853,10,879,,,,
,,10,879,0.9153051376342773,0.6620000004768372,,
0.8511011600494385,0.7599999904632568,11,959,,,,
,,11,959,0.8789888620376587,0.671999990940094,,
0.6624417901039124,0.7799999713897705,12,1039,,,,
,,12,1039,0.8523294925689697,0.6710000038146973,,
0.7427126169204712,0.75,13,1119,,,,
,,13,1119,0.8244960904121399,0.6959999799728394,,
0.8371317982673645,0.7300000190734863,14,1199,,,,
,,14,1199,0.8004431128501892,0.6990000009536743,,
0.691531240940094,0.800000011920929,15,1279,,,,
,,15,1279,0.7824816107749939,0.7099999785423279,,
0.7524221539497375,0.7300000190734863,16,1359,,,,
,,16,1359,0.7708620429039001,0.7024999856948853,,
0.9674758315086365,0.699999988079071,17,1439,,,,
,,17,1439,0.7507736086845398,0.7229999899864197,,
0.7898829579353333,0.7300000190734863,18,1519,,,,
,,18,1519,0.737354040145874,0.7225000262260437,,
0.7533597350120544,0.7200000286102295,19,1599,,,,
,,19,1599,0.7200450301170349,0.7325000166893005,,
,,20,1600,,,0.7039276957511902,0.7490500211715698
