train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy,test_loss,test_accuracy
2.2606749534606934,0.10999999940395355,0,79,,,,
,,0,79,2.23166561126709,0.13850000500679016,,
2.1285595893859863,0.20999999344348907,1,159,,,,
,,1,159,2.1170647144317627,0.24549999833106995,,
1.929526925086975,0.3799999952316284,2,239,,,,
,,2,239,1.9145995378494263,0.40450000762939453,,
1.6695882081985474,0.5400000214576721,3,319,,,,
,,3,319,1.6597203016281128,0.5009999871253967,,
1.3950355052947998,0.6000000238418579,4,399,,,,
,,4,399,1.4322136640548706,0.5920000076293945,,
1.3246158361434937,0.6000000238418579,5,479,,,,
,,5,479,1.2577338218688965,0.6284999847412109,,
1.1174637079238892,0.6200000047683716,6,559,,,,
,,6,559,1.1304556131362915,0.6399999856948853,,
1.043239951133728,0.6700000166893005,7,639,,,,
,,7,639,1.04280424118042,0.6349999904632568,,
1.1102814674377441,0.6100000143051147,8,719,,,,
,,8,719,0.9738989472389221,0.6570000052452087,,
1.0317329168319702,0.6200000047683716,9,799,,,,
,,9,799,0.9220845699310303,0.6704999804496765,,
0.8976947069168091,0.6600000262260437,10,879,,,,
,,10,879,0.8875758051872253,0.6765000224113464,,
0.927411675453186,0.699999988079071,11,959,,,,
,,11,959,0.8494697213172913,0.6919999718666077,,
0.8034160137176514,0.75,12,1039,,,,
,,12,1039,0.82472163438797,0.6974999904632568,,
0.759352445602417,0.7599999904632568,13,1119,,,,
,,13,1119,0.8013888597488403,0.7124999761581421,,
0.7597321271896362,0.699999988079071,14,1199,,,,
,,14,1199,0.7802739143371582,0.7200000286102295,,
0.6061561107635498,0.800000011920929,15,1279,,,,
,,15,1279,0.7633496522903442,0.7245000004768372,,
0.7878009676933289,0.7599999904632568,16,1359,,,,
,,16,1359,0.748017430305481,0.7279999852180481,,
0.7878485321998596,0.7599999904632568,17,1439,,,,
,,17,1439,0.7366347312927246,0.7350000143051147,,
0.715614378452301,0.7400000095367432,18,1519,,,,
,,18,1519,0.7192763090133667,0.7494999766349792,,
0.8191797733306885,0.7099999785423279,19,1599,,,,
,,19,1599,0.7079550623893738,0.7544999718666077,,
,,20,1600,,,0.6885635852813721,0.761816680431366
