train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy,test_loss,test_accuracy
2.194456100463867,0.28999999165534973,0,79,,,,
,,0,79,2.2365882396698,0.24150000512599945,,
2.141042470932007,0.36000001430511475,1,159,,,,
,,1,159,2.1297404766082764,0.42399999499320984,,
1.9998314380645752,0.4300000071525574,2,239,,,,
,,2,239,1.938191294670105,0.5055000185966492,,
1.7173556089401245,0.47999998927116394,3,319,,,,
,,3,319,1.6732678413391113,0.5490000247955322,,
1.4095901250839233,0.5099999904632568,4,399,,,,
,,4,399,1.4197571277618408,0.5895000100135803,,
1.169498085975647,0.6299999952316284,5,479,,,,
,,5,479,1.235781192779541,0.6175000071525574,,
1.039275050163269,0.7099999785423279,6,559,,,,
,,6,559,1.109133005142212,0.6349999904632568,,
0.9560465216636658,0.6899999976158142,7,639,,,,
,,7,639,1.022581696510315,0.6395000219345093,,
0.9386814832687378,0.6800000071525574,8,719,,,,
,,8,719,0.9579160213470459,0.6389999985694885,,
0.8979976177215576,0.6499999761581421,9,799,,,,
,,9,799,0.9114633798599243,0.6510000228881836,,
0.9486983418464661,0.6700000166893005,10,879,,,,
,,10,879,0.8737073540687561,0.6710000038146973,,
0.9392046332359314,0.6399999856948853,11,959,,,,
,,11,959,0.8407413363456726,0.6690000295639038,,
0.920184850692749,0.6000000238418579,12,1039,,,,
,,12,1039,0.8190627098083496,0.6965000033378601,,
0.7807700634002686,0.699999988079071,13,1119,,,,
,,13,1119,0.7941880226135254,0.6840000152587891,,
0.8047216534614563,0.7099999785423279,14,1199,,,,
,,14,1199,0.7734581828117371,0.6875,,
0.6253197193145752,0.7400000095367432,15,1279,,,,
,,15,1279,0.7559685707092285,0.7179999947547913,,
0.860974907875061,0.6899999976158142,16,1359,,,,
,,16,1359,0.7420503497123718,0.7204999923706055,,
0.7543581128120422,0.6499999761581421,17,1439,,,,
,,17,1439,0.7317482233047485,0.7294999957084656,,
0.6749824285507202,0.7400000095367432,18,1519,,,,
,,18,1519,0.7218230962753296,0.7300000190734863,,
0.7177044153213501,0.7699999809265137,19,1599,,,,
,,19,1599,0.7016840577125549,0.7379999756813049,,
0.5980040431022644,0.8100000023841858,20,1679,,,,
,,20,1679,0.6961886882781982,0.7319999933242798,,
0.941556990146637,0.6499999761581421,21,1759,,,,
,,21,1759,0.6819328665733337,0.7475000023841858,,
0.6698463559150696,0.7599999904632568,22,1839,,,,
,,22,1839,0.6722338795661926,0.7484999895095825,,
0.7068296670913696,0.7200000286102295,23,1919,,,,
,,23,1919,0.6637841463088989,0.7605000138282776,,
0.4811917841434479,0.8600000143051147,24,1999,,,,
,,24,1999,0.6552072763442993,0.7595000267028809,,
0.5886876583099365,0.8299999833106995,25,2079,,,,
,,25,2079,0.6454436182975769,0.7649999856948853,,
0.6737106442451477,0.7799999713897705,26,2159,,,,
,,26,2159,0.6345474123954773,0.7710000276565552,,
0.6001719832420349,0.7799999713897705,27,2239,,,,
,,27,2239,0.6288067698478699,0.7739999890327454,,
0.6799817681312561,0.75,28,2319,,,,
,,28,2319,0.6276229619979858,0.7684999704360962,,
0.6295996904373169,0.7900000214576721,29,2399,,,,
,,29,2399,0.6158204674720764,0.7739999890327454,,
0.515339732170105,0.8100000023841858,30,2479,,,,
,,30,2479,0.614906907081604,0.781499981880188,,
0.7129566669464111,0.7599999904632568,31,2559,,,,
,,31,2559,0.6076005101203918,0.7829999923706055,,
0.6096987724304199,0.75,32,2639,,,,
,,32,2639,0.604588508605957,0.7839999794960022,,
0.6189934015274048,0.8199999928474426,33,2719,,,,
,,33,2719,0.5977861285209656,0.777999997138977,,
0.6208322644233704,0.8100000023841858,34,2799,,,,
,,34,2799,0.5904872417449951,0.7879999876022339,,
0.5311981439590454,0.8199999928474426,35,2879,,,,
,,35,2879,0.590178370475769,0.7954999804496765,,
0.5621842741966248,0.8700000047683716,36,2959,,,,
,,36,2959,0.5829833149909973,0.7894999980926514,,
0.5651891827583313,0.7799999713897705,37,3039,,,,
,,37,3039,0.5749301314353943,0.7919999957084656,,
0.4225274324417114,0.8500000238418579,38,3119,,,,
,,38,3119,0.5977892279624939,0.7770000100135803,,
0.5206278562545776,0.800000011920929,39,3199,,,,
,,39,3199,0.5666493773460388,0.7985000014305115,,
